#,Name,Center,Year,"Area
(km²)",Population,Density,Councils (municipalities) ,,
,,,,,,,City,Town,Village 
1,Horodysche,Horodyshche,,866,49307,57,,,
2,Drabiv,Drabiv,,1161,42635,37,,,
3,Zhashkiv,Zhashkiv,,964,45626,47,,,
4,Zvenyhorodka,Zvenyhorodka,,1010,53685,53,,,
5,Zolotonosha,Zolotonosha,,1493,48561,33,,,
6,Kamianka,Kamianka,,725,35447,49,,,
7,Kaniv,Kaniv,,1283,24703,19,,,
8,Katerynopil,Katerynopil,,672,28905,43,,,
9,Korsun-Shevchenkivskyi,Korsun-Shevchenkivskyi,,896,49990,56,,,
10,Lysianka,Lysianka,,746,28721,39,,,
11,Mankivka,Mankivka,,765,33112,43,,,
12,Monastyrysche,Monastyryshche,,719,40587,56,,,
13,Smila,Smila,,934,38215,41,,,
14,Talne,Talne,,917,43581,48,,,
15,Uman,Uman,,1400,51505,37,,,
16,Khrystynivka,Khrystynivka,,632,39222,62,,,
17,Cherkasy,Cherkasy,,1609,79061,49,,,
18,Chyhyryn,Chyhyryn,,1217,36120,30,,,
19,Chornobai,Chornobai,,1554,49710,32,,,
20,Shpola,Shpola,,1105,52077,47,,,
