#,Name,Center,Year,"Area
(km²)",Population,Density,Councils (municipalities) ,,
,,,,,,,City,Town,Village 
1,Vyzhnytsia,Vyzhnytsia,,904,60005,66,,,
2,Hertsa,Hertsa,,309,32247,104,,,
3,Hlyboka,Hlyboka,,674,72682,108,,,
4,Zastavna,Zastavna,,619,56306,91,,,
5,Kelmentsi,Kelmentsi,,670,48397,72,,,
6,Kitsman,Kitsman,,608,72898,120,,,
7,Novoselytsia,Novoselytsia,,738,87454,119,,,
8,Putyla,Putyla,,878,25363,29,,,
9,Sokyriany,Sokyriany,,665,48909,74,,,
10,Storozhynets,Storozhynets,,1160,95302,82,,,
11,Khotyn,Khotyn,,716,72291,101,,,
