#,Name,Center,Year,"Area
(km²)",Population,Density,Councils (municipalities) ,,
,,,,,,,City,Town,Village 
1,Apostolove,Apostolove,,1381,63981,46,,,
2,Vasylkivka,Vasylkivka,,1330,37149,28,,,
3,Verkhnodniprovsk,Verkhnodniprovsk,,1286,57078,44,,,
4,Dnipro,Dnipro,,1388,77868,56,,,
5,Kryvyi Rih,Kryvyi Rih,,1347,44030,33,,,
6,Krynychky,Krynychky,,1684,40372,24,,,
7,Mahdalynivka,Mahdalynivka,,1599,38050,24,,,
8,Mezhova,Mezhova,,1244,28499,23,,,
9,Nikopol,Nikopol,,1943,44518,23,,,
10,Novomoskovsk,Novomoskovsk,,1997,75185,38,,,
11,Pavlohrad,Pavlohrad,,1451,32672,23,,,
12,Petrykivka,Petrykivka,,928,26081,28,,,
13,Petropavlivka,Petropavlivka,,1248,35327,28,,,
14,Pokrovske,Pokrovske,,1216,41838,34,,,
15,Piatykhatky,Piatykhatky,,1683,53185,32,,,
16,Synelnykove,Synelnykove,,1648,41467,25,,,
17,Solone,Solone,,1738,42461,24,,,
18,Sofiyivka,Sofiivka,,1364,28526,21,,,
19,Tomakivka,Tomakivka,,1191,31795,27,,,
20,Tsarychanka,Tsarychanka,,903,30774,34,,,
21,Shyroke,Shyroke,,1239,31389,25,,,
22,Yurivka,Yurivka,,902,15760,17,,,
