#,Name,Center,Year,"Area
(km²)",Population,Density,Councils (municipalities) ,,
,,,,,,,City,Town,Village 
1,Amvrosiivka,Amvrosiivka,,1455,55072,38,,,
2,Bakhmut,Bakhmut,,1687,53866,32,,,
3,Velyka Novosilka,Velyka Novosilka,,1901,49272,26,,,
4,Volnovakha,Volnovakha,,1848,92630,50,,,
5,Volodarske,Nikolske,,1221,31169,26,,,
6,Dobropillia,Dobropillia,,949,20482,22,,,
7,Kostiantynivka,Kostiantynivka,,1172,21032,18,,,
8,Pokrovsk,Pokrovsk,,1316,37384,28,,,
9,Lyman,Lyman,,1018,24781,24,,,
10,Marinka,Marinka,,1350,38861,29,,,
11,Novoazovsk,Novoazovsk,,1000,22883,23,,,
12,Oleksandrivka,Oleksandrivka,,1010,29241,29,,,
13,Pershotravneve,Manhush,,792,90434,114,,,
14,Sloviansk,Sloviansk,,1274,39165,31,,,
15,Starobesheve,Starobesheve,,1255,56048,45,,,
16,Telmanove,Telmanove,,1340,35058,26,,,
17,Shakhtarsk,Shakhtarsk,,1194,23570,20,,,
18,Yasynuvata,Yasynuvata,,809,30165,37,,,
