#,Name,Center,Year,"Area
(km²)",Population,Density,Councils (municipalities) ,,
,,,,,,,City,Town,Village 
1,Bohorodchany,Bohorodchany,,799,70098,88,,,
2,Verkhovyna,Verkhovyna,,1254,30048,24,,,
3,Halych,Halych,,723,65674,91,,,
4,Horodenka,Horodenka,,747,60804,81,,,
5,Dolyna,Dolyna,,1248,71058,57,,,
6,Kalush,Kalush,,647,62705,97,,,
7,Kolomyia,Kolomyia,,1026,105788,103,,,
8,Kosiv,Kosiv,,903,90400,100,,,
9,Nadvirna,Nadvirna,,1294,113611,88,,,
10,Rohatyn,Rohatyn,,815,51063,63,,,
11,Rozhniativ,Rozhniativ,,1303,75513,58,,,
12,Sniatyn,Sniatyn,,602,68979,115,,,
13,Tysmenytsia,Tysmenytsia,,736,85269,116,,,
14,Tlumach,Tlumach,,684,52772,77,,,
