#,Name,Center,Year,"Area
(km²)",Population,Density,Councils (municipalities) ,,
,,,,,,,City,Town,Village 
1,Balakliia,Balakliia,,1986,92595,47,,,
2,Barvinkove,Barvinkove,,1365,31501,23,,,
3,Blyzniuky,Blyzniuky,,1380,25695,19,,,
4,Bohodukhiv,Bohodukhiv,,1160,47456,41,,,
5,Borova,Borova,,875,21128,24,,,
6,Valky,Valky,,1011,36531,36,,,
7,Velykyi Burluk,Velykyi Burluk,,1221,28155,23,,,
8,Vovchansk,Vovchansk,,1889,54942,29,,,
9,Dvorichna,Dvorichna,,1112,22267,20,,,
10,Derhachi,Derhachi,,900,98600,110,,,
11,Zachepylivka,Zachepylivka,,794,18834,24,,,
12,Zmiiv,Zmiiv,,1365,81477,60,,,
13,Zolochiv,Zolochiv,,969,34063,35,,,
14,Izium,Izium,,1553,22002,14,,,
15,Kehychivka,Kehychivka,,783,23454,30,,,
16,Kolomak,Kolomak,,330,9007,27,,,
17,Krasnohrad,Krasnohrad,,983,49240,50,,,
18,Krasnokutsk,Krasnokutsk,,1041,33122,32,,,
19,Kupiansk,Kupiansk,,1280,29581,23,,,
20,Lozova,Lozova,,1404,34325,24,,,
21,Nova Vodolaha,Nova Vodolaha,,1183,40794,34,,,
22,Pervomaiskyi,Pervomaiskyi,,1194,19879,17,,,
23,Pechenihy,Pechenihy,,467,11824,25,,,
24,Sakhnovshchyna,Sakhnovshchyna,,1170,26086,22,,,
25,Kharkiv,Kharkiv,,1403,187086,133,,,
26,Chuhuiv,Chuhuiv,,1149,50945,44,,,
27,Shevchenkove,Shevchenkove,,977,23213,24,,,
