#,Name,Center,Year,"Area
(km²)",Population,Density,Councils (municipalities) ,,
,,,,,,,City,Town,Village 
1,Beryslav,Beryslav,,1721,55915,32,,,
2,Bilozerka,Bilozerka,,1534,68382,45,,,
3,Velyka Lepetyka,Velyka Lepetykha,,1000,20660,21,,,
4,Velyka Oleksandrivka,Velyka Oleksandrivka,,1540,31233,20,,,
5,Verkhniy Rohachyk,Verkhnii Rohachyk,,915,14290,16,,,
6,Vysokopillia,Vysokopillia,,701,17920,26,,,
7,Henichesk,Henichesk,,3008,66291,22,,,
8,Holo Prystan,Hola Prystan,,3411,64785,19,,,
9,Hornostaivka,Hornostaivka,,1018,21942,22,,,
10,Ivanivka,Ivanivka,,1120,17944,16,,,
11,Kalanchak,Kalanchak,,916,25748,28,,,
12,Kakhovka,Kakhovka,,1451,40104,28,,,
13,Nyzhni Sirohozy,Nyzhni Sirohozy,,1209,19697,16,,,
14,Novovorontsovka,Novovorontsovka,,1005,24595,24,,,
15,Novotroitske,Novotroitske,,2298,43026,19,,,
16,Skadovsk,Skadovsk,,1456,50107,34,,,
17,Oleshky,Oleshky,,1759,72264,41,,,
18,Chaplynka,Chaplynka,,1722,40194,23,,,
