#,Name,Center,Year,"Area
(km²)",Population,Density,Councils (municipalities) ,,
,,,,,,,City,Town,Village 
1,Bilohiria,Bilohiria,,776,31655,41,,,
2,Vinkivtsi,Vinkivtsi,,653,31043,48,,,
3,Volochysk,Volochysk,,1104,60788,55,,,
4,Horodok,Horodok,,1111,58655,53,,,
5,Derazhnia,Derazhnia,,916,38149,42,,,
6,Dunaivti,Dunaivtsi,,1182,73066,62,,,
7,Iziaslav,Iziaslav,,1253,54199,43,,,
8,Kamianets-Podilskyi,Kamianets-Podilskyi,,1538,75673,49,,,
9,Krasyliv,Krasyliv,,1181,61319,52,,,
10,Letychiv,Letychiv,,951,34440,36,,,
11,Nova Ushytsia,Nova Ushytsia,,853,36478,43,,,
12,Polonne,Polonne,,866,51234,59,,,
13,Slavuta,Slavuta,,1163,37424,32,,,
14,Starokostiantyniv,Starokostiantyniv,,1250,37199,30,,,
15,Stara Syniava,Stara Syniava,,662,24950,38,,,
16,Teofipol,Teofipol,,716,32263,45,,,
17,Khmelnytskyi,Khmelnytskyi,,1227,54931,45,,,
18,Chemerivtsi,Chemerivtsi,,928,50949,55,,,
19,Shepetika,Shepetivka,,1162,40616,35,,,
20,Yarmolyntsi,Yarmolyntsi,,898,40024,45,,,
