#,Name,Center,Year,"Area
(km²)",Population,Density,Councils (municipalities) ,,
,,,,,,,City,Town,Village 
1,Bobrynets,Bobrynets,,1496,31593,21,,,
2,Vilshanka,Vilshanka,,645,16401,25,,,
3,Haivoron,Haivoron,,695,43573,63,,,
4,Holovanivsk,Holovanivsk,,992,36852,37,,,
5,Dobrovelychkivka,Dobrovelychkivka,,1297,43097,33,,,
6,Dolynska,Dolynska,,1276,38263,30,,,
7,Znamianka,Znamianka,,1334,30078,23,,,
8,Kompaniivka,Kompaniivka,,967,18322,19,,,
9,Kropyvnytskyi,Kropyvnytskyi,,1557,37711,24,,,
10,Mala Vyska,Mala Vyska,,1248,51494,41,,,
11,Novhorodka,Novhorodka,,997,19009,19,,,
12,Novoarkhanhelsk,Novoarkhanhelsk,,1206,31513,26,,,
13,Novomyrhorod,Novomyrhorod,,1032,35807,35,,,
14,Novoukrainka,Novoukrainka,,1668,48807,29,,,
15,Oleksandrivka,Oleksandrivka,,1159,36108,31,,,
16,Oleksandriia,Oleksandriia,,1855,41156,22,,,
17,Onufriivka,Onufriivka,,889,21847,25,,,
18,Petrove,Petrove,,1195,28978,24,,,
19,Svitlovodsk,Svitlovodsk,,1213,16647,14,,,
20,Blahovishchenske,Blahovishchenske,,701,28819,41,,,
21,Ustynivka,Ustynivka,,942,16795,18,,,
