#,Name,Center,Year,"Area
(km²)",Population,Density,Councils (municipalities) ,,
,,,,,,,City,Town,Village 
1,Baryshivka,Baryshivka,,958,41287,43,,,
2,Bila Tserkva,Bila Tserkva,,1277,55536,43,,,
3,Bohuslav,Bohuslav,,772,40602,53,,,
4,Boryspil,Boryspil,,1485,54633,37,,,
5,Borodianka,Borodianka,,934,57790,62,,,
6,Brovary,Brovary,,1188,77518,65,,,
7,Vasylkiv,Vasylkiv,,1184,70705,60,,,
8,Vyshhorod,Vyshhorod,,2031,72446,36,,,
9,Volodarka,Volodarka,,646,23384,36,,,
10,Zghurivka,Zghurivka,,763,22671,30,,,
11,Ivankiv,Ivankiv,,3616,35374,10,,,
12,Kaharlyk,Kaharlyk,,926,37791,41,,,
13,Kyievo-Sviatoshyn,Kyiv,,726,156015,215,,,
14,Makariv,Makariv,,1364,47915,35,,,
15,Myronivka,Myronivka,,904,40488,45,,,
16,Obukhiv,Obukhiv,,773,71606,93,,,
17,Pereiaslav-Khmelnytskyi,Pereiaslav,,1456,36892,25,,,
18,Poliske,Krasiatychi,,1288,7567,6,,,
19,Rokytne,Rokytne,,662,36400,55,,,
20,Skvyra,Skvyra,,980,44267,45,,,
21,Stavyshche,Stavyshche,,674,28327,42,,,
22,Tarashcha,Tarashcha,,758,36352,48,,,
23,Tetiiv,Tetiiv,,758,37098,49,,,
24,Fastiv,Fastiv,,897,37538,42,,,
25,Yahotyn,Yahotyn,,793,40822,51,,,
