I. Autonomous Republic of Crimea,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Name,,,Center,,,Year,,,"Area
(km²)",,,Population,,Density,Councils (municipalities) ,,,,,,,,
,,,,,,,,,,,,,,,,,City,,Town,Village ,,,,,
1,,Bakhchysarai,,,Bakhchysarai,,,1923,,,1589,,,92617,,58,1,,2,15,,,,,
2,,Bilohirsk,,,Bilohirsk,,,,,,1894,,,66396,,35,1,,1,17,,,,,
3,,Dzhankoy*,,,Dzhankoy,,,1921,,,2667,,,81990,,31,0,,2,26,,,,,
4,,Kirovske,,,Kirovske,,,1935,,,1209,,,57686,,48,1,,1,11,,,,,
5,,Krasnohvardiiske,,,Krasnohvardiiske,,,1944,,,1766,,,93686,,53,0,,2,18,,,,,
6,,Krasnoperekopsk*,,,Krasnoperekopsk,,,1935,,,1231,,,31516,,26,0,,0,12,,,,,
7,,Lenine,,,Lenine,,,1921,,,2919,,,69653,,24,1,,2,24,,,,,
8,,Nyzhniohirskyi,,,Nyzhnohirskyi,,,1930,,,1212,,,55863,,46,0,,1,18,,,,,
9,,Pervomaiske,,,Pervomaiske,,,1935,,,1474,,,40349,,27,0,,1,16,,,,,
10,,Rozdolne,,,Rozdolne,,,1935,,,1231,,,37384,,30,0,,2,10,,,,,
11,,Saky*,,,Saky,,,1935,,,2257,,,80302,,36,0,,1,23,,,,,
12,,Simferopol*,,,Simferopol,,,1965,,,1753,,,148930,,85,0,,4,18,,,,,
13,,Sovietskyi,,,Sovietskyi,,,1935,,,1079,,,37090,,34,0,,1,11,,,,,
14,,Chornomorske,,,Chornomorske,,,1930,,,1509,,,34012,,23,0,,1,10,,,,,
II. Vinnytsia Oblast,,,,,,,,,,,,,,,,,,,,,,,,,
#,Name,,Center,Year,,"Area
(km²)",Population,,Density,Councils (municipalities) ,,,,,,,,,,,,,,,
,,,,,,,,,,City,,Town,Village ,,,,,,,,,,,,
1,Bar,,Bar,1923,,1102,62464,,57,1,,1,27,,,,,,,,,,,,
2,Bershad,,Bershad,,,1286,71312,,55,1,,0,28,,,,,,,,,,,,
3,Vinnytsia*,,Vinnytsia,1923,,919,74250,,81,0,,3,30,,,,,,,,,,,,
4,Haisyn,,Haisyn,1923,,1102,64855,,59,1,,0,26,,,,,,,,,,,,
5,Zhmerynka*,,Zhmerynka,1923,,1171,44134,,38,0,,1,27,,,,,,,,,,,,
6,Illintsi,,Illintsi,1923,,915,42519,,46,1,,1,22,,,,,,,,,,,,
7,Kalynivka,,Kalynivka,1923,,1086,47656,,44,1,,0,28,,,,,,,,,,,,
8,Koziatyn*,,Koziatyn,1923,,1131,65031,,57,0,,2,32,,,,,,,,,,,,
9,Kryzhopil,,Kryzhopil,1923,,884,40907,,46,0,,1,19,,,,,,,,,,,,
10,Lypovets,,Lypovets,1923,,969,44273,,46,1,,1,25,,,,,,,,,,,,
11,Lityn,,Lityn,1923,,960,42269,,44,0,,1,21,,,,,,,,,,,,
12,Mohyliv-Podilskyi*,,Mohyliv-Podilskyi,1925,,933,40095,,43,0,,1,27,,,,,,,,,,,,
13,Murovani Kurylivtsi,,Murovani Kurylivtsi,1967,,886,32768,,37,0,,1,24,,,,,,,,,,,,
14,Nemyriv,,Nemyriv,1923,,1292,59469,,46,1,,2,40,,,,,,,,,,,,
15,Orativ,,Orativ,1979,,874,27345,,31,0,,1,27,,,,,,,,,,,,
16,Pishchanka,,Pishchanka,1923,,595,25102,,42,0,,2,13,,,,,,,,,,,,
17,Pohrebyshche,,Pohrebyshche,1923,,1200,37721,,31,1,,0,26,,,,,,,,,,,,
18,Teplyk,,Teplyk,1930,,809,35267,,44,0,,1,25,,,,,,,,,,,,
19,Tyvriv,,Tyvriv,1923,,882,40773,,46,1,,2,25,,,,,,,,,,,,
20,Tomashpil,,Tomashpil,1923,,778,42631,,55,0,,2,22,,,,,,,,,,,,
21,Trostianets,,Trostianets,1923,,945,65060,,69,0,,1,17,,,,,,,,,,,,
22,Tulchyn,,Tulchyn,1923,,1124,47761,,42,1,,2,23,,,,,,,,,,,,
23,Khmilnyk*,,Khmilnyk,,,1253,44084,,35,0,,0,30,,,,,,,,,,,,
24,Chernivtsi,,Chernivtsi,1990,,592,28661,,48,0,,1,13,,,,,,,,,,,,
25,Chechelnyk,,Chechelnyk,1966,,759,27189,,36,0,,1,15,,,,,,,,,,,,
26,Sharhorod,,Sharhorod,1965,,1137,64943,,57,1,,0,31,,,,,,,,,,,,
27,Yampil,,Yampil,1965,,788,47683,,61,1,,0,18,,,,,,,,,,,,
III. Volyn Oblast,,,,,,,,,,,,,,,,,,,,,,,,,
#,Name,,Center,Year,,"Area
(km²)",Population,,Density,Councils (municipalities) ,,,,,,,,,,,,,,,
,,,,,,,,,,City,,Town,Village ,,,,,,,,,,,,
1,Volodymyr-Volynskyi,,Volodymyr-Volynskyi,,,1038,28241,,27,,,,,,,,,,,,,,,,
2,Horokhiv,,Horokhiv,,,1122,57098,,51,,,,,,,,,,,,,,,,
3,Ivanychi,,Ivanychi,,,645,36050,,56,,,,,,,,,,,,,,,,
4,Kamin-Kashyrskyi,,Kamin-Kashyrskyi,,,1748,61939,,35,,,,,,,,,,,,,,,,
5,Kivertsi,,Kivertsi,,,1414,66412,,47,,,,,,,,,,,,,,,,
6,Kovel,,Kovel,,,1723,43000,,25,,,,,,,,,,,,,,,,
7,Lokachi,,Lokachi,,,712,25346,,36,,,,,,,,,,,,,,,,
8,Lutsk,,Lutsk,,,973,56137,,58,,,,,,,,,,,,,,,,
