#,Name,Center,Year,"Area
(km²)",Population,Density,Councils (municipalities) ,,
,,,,,,,City,Town,Village 
1,Antratsyt,Antratsyt,,1662,36971,22,,,
2,Bilovodsk,Bilovodsk,,1597,27559,17,,,
3,Bilokurakyne,Bilokurakyne,,1436,23807,17,,,
4,Krasnodon,Krasnodon,,1386,32846,24,,,
5,Kreminna,Kreminna,,1627,51927,32,,,
6,Lutuhyne,Lutuhyne,,1057,73914,70,,,
7,Markivka,Markivka,,1166,19002,16,,,
8,Milove,Milove,,971,17415,18,,,
9,Novoaidar,Novoaidar,,1536,28451,19,,,
10,Novopskov,Novopskov,,1623,38322,24,,,
11,Perevalsk,Perevalsk,,807,87383,108,,,
12,Popasna,Popasna,,1325,50559,38,,,
13,Svatove,Svatove,,1739,43069,25,,,
14,Sverdlovsk,Sverdlovsk,,1132,14574,13,,,
15,Slovianoserbsk,Slovianoserbsk,,1113,62125,56,,,
16,Stanytsia-Luhanska,Stanytsia Luhanska,,1896,52762,28,,,
17,Starobilsk,Starobilsk,,1582,57755,37,,,
18,Troitske,Troitske,,1633,25704,16,,,
