#,Name,Center,Year,"Area
(km²)",Population,Density,Councils (municipalities) ,,
,,,,,,,City,Town,Village 
1,Brody,Brody,,1162,63545,55,,,
2,Busk,Busk,,850,50800,60,,,
3,Horodok,Horodok,,726,74206,102,,,
4,Drohobych,Drohobych,,1210,76276,63,,,
5,Zhydachiv,Zhydachiv,,996,80469,81,,,
6,Zhovkva,Zhovkva,,1294,108863,84,,,
7,Zolochiv,Zolochiv,,1097,74550,68,,,
8,Kamianka-Buzka,Kamianka-Buzka,,868,61869,71,,,
9,Mykolaiv,Mykolaiv,,698,66247,95,,,
10,Mostyska,Mostyska,,845,61892,73,,,
11,Peremyshliany,Peremyshliany,,918,47705,52,,,
12,Pustomyty,Pustomyty,,948,111872,118,,,
13,Radekhiv,Radekhiv,,1144,52457,46,,,
14,Sambir,Sambir,,934,74574,80,,,
15,Skole,Skole,,1471,50210,34,,,
16,Sokal,Sokal,,1574,98098,62,,,
17,Staryi Sambir,Staryi Sambir,,1245,82191,66,,,
18,Stryi,Stryi,,802,63322,79,,,
19,Turka,Turka,,1193,54769,46,,,
20,Yavoriv,Yavoriv,,1542,123546,80,,,
