#,Name,Center,Year,"Area
(km²)",Population,Density,Councils (municipalities) ,,
,,,,,,,City,Town,Village 
1,Arbuzynka,Arbuzynka,,969,24783,26,,,
2,Bashtanka,Bashtanka,,1706,41434,24,,,
3,Berezanka,Berezanka,,1378,24988,18,,,
4,Bereznehuvate,Bereznehuvate,,1264,23053,18,,,
5,Bratske,Bratske,,1129,21226,19,,,
6,Veselynove,Veselynove,,1245,27044,22,,,
7,Voznesensk,Voznesensk,,1392,35907,26,,,
8,Vradiivka,Vradiivka,,801,20947,26,,,
9,Domanivka,Domanivka,,1458,28945,20,,,
10,Yelanets,Yelanets,,1018,18411,18,,,
11,Vitovka,Mykolaiv,,1460,54655,37,,,
12,Kazanka,Kazanka,,1349,24745,18,,,
13,Kryve Ozero,Kryve Ozero,,814,28494,35,,,
14,Mykolaiv,Mykolaiv,,1430,34980,24,,,
15,Novyi Buh,Novyi Buh,,1243,34167,27,,,
16,Nova Odesa,Nova Odesa,,1428,37385,26,,,
17,Ochakiv,Ochakiv,,1500,16916,11,,,
18,Pervomaisk,Pervomaisk,,1319,37050,28,,,
19,Snihurivka,Snihurivka,,1350,47538,35,,,
