#,Name,Center,Year,"Area
(km²)",Population,Density,Councils (municipalities) ,,
,,,,,,,City,Town,Village 
1,Ananiv,Ananiv,,1050,32619,31,,,
2,Artsyi,Artsyz,,1379,51251,37,,,
3,Balta,Balta,,1317,48697,37,,,
4,Berezivka,Berezivka,,1637,36173,22,,,
5,Bilhorod-Dnistrovskyi,Bilhorod-Dnistrovskyi,,1852,62255,34,,,
6,Bilyayivka,Bilyayivka,,1497,103988,69,,,
7,Bolhrad,Bolhrad,,1364,73991,54,,,
8,Velyka Mykhailivka,Velyka Mykhailivka,,1436,32703,23,,,
9,Ivanivka,Ivanivka,,1162,29184,25,,,
10,Izmail,Izmail,,1194,54550,46,,,
11,Kiliya,Kiliya,,1358,58707,43,,,
12,Kodyma,Kodyma,,818,34523,42,,,
13,Lyman,Dobroslav,,1499,67207,45,,,
14,Podilsk,Podilsk,,1037,30627,30,,,
15,Okny,Okny,,1013,22872,23,,,
16,Liubashivka,Liubashivka,,1100,33544,30,,,
17,Mykolaivka,Mykolaivka,,1093,20158,18,,,
18,Ovidiopol,Ovidiopol,,829,60294,73,,,
19,Reni,Reni,,861,39903,46,,,
20,Rozdilna,Rozdilna,,1368,56727,41,,,
21,Savran,Savran,,617,22176,36,,,
22,Sarata,Sarata,,1474,49911,34,,,
23,Tarutyne,Tarutyne,,1874,45175,24,,,
24,Tatarbunary,Tatarbunary,,1748,41573,24,,,
25,Zakharivka,Zakharivka,,956,20944,22,,,
26,Shyriaieve,Shyriaieve,,1502,29754,20,,,
