#,Name,Center,Year,"Area
(km²)",Population,Density,Councils (municipalities) ,,
,,,,,,,City,Town,Village 
1,Velyka Bahachka,Velyka Bahachka,,1019,30103,30,,,
2,Hadiach,Hadiach,,1595,64011,40,,,
3,Hlobyne,Hlobyne,,2474,58726,24,,,
4,Hrebinka,Hrebinka,,595,26257,44,,,
5,Dykanka,Dykanka,,679,21903,32,,,
6,Zinkiv,Zinkiv,,1361,42308,31,,,
7,Karlivka,Karlivka,,854,41641,49,,,
8,Kobeliaky,Kobeliaky,,1823,54091,30,,,
9,Kozelshchyna,Kozelshchyna,,927,24849,27,,,
10,Kotelva,Kotelva,,795,21564,27,,,
11,Kremenchuk,Kremenchuk,,1023,43346,42,,,
12,Lokhvytsia,Lokhvytsia,,1303,51440,39,,,
13,Lubny,Lubny,,1375,39970,29,,,
14,Mashivka,Mashivka,,889,22894,26,,,
15,Myrhorod,Myrhorod,,1539,41225,27,,,
16,Novi Sanzhary,Novi Sanzhary,,1272,39995,31,,,
17,Orzhytsia,Orzhytsia,,980,29525,30,,,
18,Pyriatyn,Pyriatyn,,863,36467,42,,,
19,Poltava,Poltava,,1260,66351,53,,,
20,Reshetylivka,Reshetylivka,,1010,29741,29,,,
21,Semenivka,Semenivka,,1275,32575,26,,,
22,Khorol,Khorol,,1062,42169,40,,,
23,Chornukhy,Chornukhy,,682,16227,24,,,
24,Chutove,Chutove,,861,26816,31,,,
25,Shyshaky,Shyshaky,,799,24056,30,,,
