#,Name,Center,Year,"Area
(km²)",Population,Density,Councils (municipalities) ,,
,,,,,,,City,Town,Village 
1,Berezne,Berezne,,1715,63748,37,,,
2,Volodymyrets,Volodymyrets,,1949,61714,32,,,
3,Hoshcha,Hoshcha,,692,38846,56,,,
4,Demydivka,Demydivka,,377,16483,44,,,
5,Dubno,Dubno,,1199,48635,41,,,
6,Dubrovytsia,Dubrovytsia,,1817,50939,28,,,
7,Zarichne,Zarichne,,1442,36078,25,,,
8,Zdolbuniv,Zdolbuniv,,659,58805,89,,,
9,Korets,Korets,,720,39303,55,,,
10,Kostopil,Kostopil,,1497,65559,44,,,
11,Mlyniv,Mlyniv,,945,41614,44,,,
12,Ostroh,Ostroh,,693,31235,45,,,
13,Radyvyliv,Radyvyliv,,745,40029,54,,,
14,Rivne,Rivne,,1176,87998,75,,,
15,Rokytne,Rokytne,,2350,51892,22,,,
16,Sarny,Sarny,,1972,98836,50,,,
