#,Name,Center,Year,"Area
(km²)",Population,Density,Councils (municipalities) ,,
,,,,,,,City,Town,Village 
1,Bilopillia,Bilopillia,,1443,61321,42,,,
2,Buryn,Buryn,,1104,36933,33,,,
3,Velyka Pysarivka,Velyka Pysarivka,,831,26997,32,,,
4,Hlukhiv,Hlukhiv,,1661,31944,19,,,
5,Konotop,Konotop,,1667,39398,24,,,
6,Krasnopillia,Krasnopillia,,1351,33978,25,,,
7,Krolevets,Krolevets,,1284,46789,36,,,
8,Lebedyn,Lebedyn,,1542,27743,18,,,
9,Lypova Dolyna,Lypova Dolyna,,882,23342,26,,,
10,Nedryhailiv,Nedryhailiv,,1036,31231,30,,,
11,Okhtyrka,Okhtyrka,,1287,31534,25,,,
12,Putyvl,Putyvl,,1103,34402,31,,,
13,Romny,Romny,,1859,46254,25,,,
14,Seredyna-Buda,Seredyna-Buda,,1123,20799,19,,,
15,Sumy,Sumy,,1855,62701,34,,,
16,Trostianets,Trostianets,,1048,41977,40,,,
17,Shostka,Shostka,,1219,24522,20,,,
18,Yampil,Yampil,,943,30200,32,,,
