#,Name,Center,Year,"Area
(km²)",Population,Density,Councils (municipalities) ,,
,,,,,,,City,Town,Village 
1,Berezhany,Berezhany,,661,44813,68,,,
2,Borschiv,Borshchiv,,1006,75340,75,,,
3,Buchach,Buchach,,802,64974,81,,,
4,Husiatyn,Husiatyn,,1016,67074,66,,,
5,Zalishchyky,Zalischyky,,684,53466,78,,,
6,Zbarazh,Zbarazh,,863,60308,70,,,
7,Zboriv,Zboriv,,977,47089,48,,,
8,Kozova,Kozova,,694,41827,60,,,
9,Kremenets,Kremenets,,918,73441,80,,,
10,Lanivtsi,Lanivtsi,,632,33188,53,,,
11,Monastyryska,Monastyryska,,558,34552,62,,,
12,Pidvolochysk,Pidvolochysk,,837,46190,55,,,
13,Pidhaitsi,Pidhaitsi,,496,22951,46,,,
14,Terebovlia,Terebovl,,1130,70945,63,,,
15,Ternopil,Ternopil,,749,60991,81,,,
16,Chortkiv,Chortkiv,,903,80944,90,,,
17,Shumsk,Shumsk,,838,36568,44,,,
