#,Name,Center,Year,"Area
(km²)",Population,Density,Councils (municipalities) ,,
,,,,,,,City,Town,Village 
1,Volodymyr-Volynskyi,Volodymyr-Volynskyi,,1038,28241,27,,,
2,Horokhiv,Horokhiv,,1122,57098,51,,,
3,Ivanychi,Ivanychi,,645,36050,56,,,
4,Kamin-Kashyrskyi,Kamin-Kashyrskyi,,1748,61939,35,,,
5,Kivertsi,Kivertsi,,1414,66412,47,,,
6,Kovel,Kovel,,1723,43000,25,,,
7,Lokachi,Lokachi,,712,25346,36,,,
8,Lutsk,Lutsk,,973,56137,58,,,
9,Liubeshiv,Liubeshiv,,1450,36829,25,,,
10,Liuboml,Liuboml,,1481,43267,29,,,
11,Manevychi,Manevychi,,2265,57341,25,,,
12,Ratne,Ratne,,1437,52555,37,,,
13,Rozhyshche,Rozhyshche,,928,42945,46,,,
14,Stara Vyzhivka,Stara Vyzhivka,,1121,34135,30,,,
15,Turiisk,Turiisk,,1205,29066,24,,,
16,Shatsk,Shatsk,,759,18172,24,,,
