#,Name,Center,Year,"Area
(km²)",Population,Density,Councils (municipalities) ,,
,,,,,,,City,Town,Village 
1,Berehove,Berehove,,654,53841,82,,,
2,Velykyy Bereznyi,Velykyi Bereznyi,,810,28016,35,,,
3,Vynohradiv,Vynohradiv,,695,117863,170,,,
4,Volovets,Volovets,,544,25336,47,,,
5,Irshava,Irshava,,944,100881,107,,,
6,Mizhhirya,Mizhhirya,,1163,50057,43,,,
7,Mukacheve,Mukachevo,,997,101572,102,,,
8,Perechyn,Perechyn,,631,31790,50,,,
9,Rakhiv,Rakhiv,,1892,90811,48,,,
10,Svaliava,Svaliava,,676,55468,82,,,
11,Tiachiv,Tiachiv,,1818,172389,95,,,
12,Uzhhorod,Uzhhorod,,866,65514,76,,,
13,Khust,Khust,,998,96561,97,,,
