#,Name,Center,Year,"Area
(km²)",Population,Density,Councils (municipalities) ,,
,,,,,,,City,Town,Village 
1,Berdiansk,Berdiansk,,1776,31631,18,,,
2,Vasylivka,Vasylivka,,1621,74384,46,,,
3,Velyka Bilozerka,Velyka Bilozerka,,469,9337,20,,,
4,Vesele,Vesele,,1129,25542,23,,,
5,Vilniansk,Vilniansk,,1288,50536,39,,,
6,Huliaipole,Huliaipole,,1300,34529,27,,,
7,Zaporizhia,Zaporizhzhia,,1462,54777,37,,,
8,Kamianka-Dniprovska,Kamianka-Dniprovska,,1179,45792,39,,,
9,Kuibysheve,Kuibysheve,,1335,27578,21,,,
10,Melitopol,Melitopol,,1787,56104,31,,,
11,Mykhailivka,Mykhailivka,,1067,33046,31,,,
12,Novomykolaivka,Novomykolaivka,,915,19564,21,,,
13,Orikhiv,Orikhiv,,1598,54183,34,,,
14,Polohy,Polohy,,1344,48018,36,,,
15,Pryazovske,Pryazovske,,1947,32909,17,,,
16,Prymorsk,Prymorsk,,1398,35223,25,,,
17,Rozivka,Rozivka,,610,11944,20,,,
18,Tokmak,Tokmak,,1442,27847,19,,,
19,Chernihivka,Chernihivka,,1200,22249,19,,,
20,Yakymivka,Yakymivka,,1856,37963,20,,,
