#,Name,Center,Year,"Area
(km²)",Population,Density,Councils (municipalities) ,,
,,,,,,,City,Town,Village 
1,Andrushivka,Andrushivka,,956,38785,41,,,
2,Baranivka,Baranivka,,1000,46001,46,,,
3,Berdychiv,Berdychiv,,865,34298,40,,,
4,Brusyliv,Brusyliv,,626,18142,29,,,
5,Khoroshiv,Khoroshiv,,870,38409,44,,,
6,Romaniv,Romaniv,,928,33282,36,,,
7,Yemilchyne,Yemilchyne,,2112,41707,20,,,
8,Zhytomyr,Zhytomyr,,1441,68449,48,,,
9,Korosten,Korosten,,1739,34030,20,,,
10,Korostyshiv,Korostyshiv,,974,43444,45,,,
11,Luhyny,Luhyny,,994,20823,21,,,
12,Liubar,Liubar,,757,31046,41,,,
13,Malyn,Malyn,,1485,51997,35,,,
14,Narodychi,Narodychi,,1284,11439,9,,,
15,Novohrad-Volynskyi,Novohrad-Volynskyi,,2098,52131,25,,,
16,Ovruch,Ovruch,,3225,67827,21,,,
17,Olevsk,Olevsk,,2248,46883,21,,,
18,Popilnia,Popilnia,,1037,36968,36,,,
19,Radomyshl,Radomyshl,,1297,42299,33,,,
20,Ruzhyn,Ruzhyn,,1002,34299,34,,,
21,Pulyny,Pulyny,,853,25921,30,,,
22,Cherniakhiv,Cherniakhiv,,850,33592,40,,,
23,Chudniv,Chudniv,,1037,42955,41,,,
