Autonomous Republic of Crimea,,,,,,,,,
#,Name,Center,Year,"Area
(km2)",Population,Density,Councils (municipalities) ,,
,,,,,,,City,Town,Village 
1,Bakhchysarai Raion,Bakhchysarai,1923,1589,92617,58,1,2,15
2,Bilohirsk Raion,Bilohirsk,1930,3106,122259,39,1,2,35
3,Dzhankoi Raion,Dzhankoi,1921,2693,125333,47,1,2,26
4,Feodosia Raion,Feodosia,2020,3177,231666,73,3,8,47
5,Kerch Raion,Kerch,2020,3027,226660,75,2,2,24
6,Perekop Raion,Yani Qapu,1935,2646,126110,48,2,2,25
7,Qurman Raion,Qurman,1944,3240,134035,41,0,3,34
8,Simferopol Raion,Simferopol,1965,1860,512527,276,1,8,19
9,Yalta Raion,Yalta,2020,883,198161,224,3,22,33
10,Yevpatoria Raion,Yevpatoria,2020,3860,264368,68,3,5,33
Other oblasts,,,,,,,,,
Name ,Center ,Center population ,Oblast ,"Area
(km2) ","Population
(2021 estimate)[8] ","No. of
Hromadas ",,,
Vinnytsia Raion ,Vinnytsia ,"370,7 ",Vinnytsia Oblast ,6888.9,652126,16,,,
Haisyn Raion ,Haisyn ,"25,8 ",Vinnytsia Oblast ,5674.8,236803,14,,,
Zhmerynka Raion ,Zhmerynka ,"34,3 ",Vinnytsia Oblast ,3150.6,161544,8,,,
Mohyliv-Podilskyi Raion ,Mohyliv-Podilskyi ,"31,2 ",Vinnytsia Oblast ,3220.5,142456,7,,,
Tulchyn Raion ,Tulchyn ,"14,9 ",Vinnytsia Oblast ,3858.4,152281,9,,,
Khmilnyk Raion ,Khmilnyk ,"27,4 ",Vinnytsia Oblast ,3701.1,183913,9,,,
Volodymyr-Volynskyi Raion ,Volodymyr-Volynskyi ,"38,9 ",Volyn Oblast ,2558.2,171264,11,,,
Kamin-Kashyrskyi Raion ,Kamin-Kashyrskyi ,"12,5 ",Volyn Oblast ,4693.4,131123,5,,,
Kovel Raion ,Kovel ,"68,2 ",Volyn Oblast ,7647.9,268082,23,,,
Lutsk Raion ,Lutsk ,"221,1 ",Volyn Oblast ,5247.8,456928,15,,,
Dnipro Raion ,Dnipro ,"987,2 ",Dnipropetrovsk Oblast ,5605.7,1159302,17,,,
Kamianske Raion ,Kamianske ,"240,5 ",Dnipropetrovsk Oblast ,4821.2,430066,12,,,
Kryvyi Rih Raion ,Kryvyi Rih ,"624,6 ",Dnipropetrovsk Oblast ,5717.4,755667,15,,,
Nikopol Raion ,Nikopol ,"110,7 ",Dnipropetrovsk Oblast ,3240.4,255505,8,,,
Novomoskovsk Raion ,Novomoskovsk ,"71,4 ",Dnipropetrovsk Oblast ,3482.9,169275,8,,,
Pavlohrad Raion ,Pavlohrad ,"105,2 ",Dnipropetrovsk Oblast ,2420.9,169509,7,,,
Synelnykove Raion ,Synelnykove ,"31,4 ",Dnipropetrovsk Oblast ,6616.6,202711,19,,,
Bakhmut Raion ,Bakhmut ,"74,1 ",Donetsk Oblast ,1747.6,224528,7,,,
Volnovakha Raion ,Volnovakha ,"21,9 ",Donetsk Oblast ,4449.1,141797,8,,,
Horlivka Raion ,Horlivka ,244,Donetsk Oblast ,2468.4,664949,9,,,
Donetsk Raion ,Donetsk ,"924,2 ",Donetsk Oblast ,2895.1,1490301,6,,,
Kalmiuske Raion ,Kalmiuske ,"11,5 ",Donetsk Oblast ,3132.6,121234,5,,,
Kramatorsk Raion ,Kramatorsk ,"153,9 ",Donetsk Oblast ,5186.3,553559,12,,,
Mariupol Raion ,Mariupol ,"440,4 ",Donetsk Oblast ,2623.8,510425,5,,,
Pokrovsk Raion ,Pokrovsk ,"63,0 ",Donetsk Oblast ,4020,393487,14,,,
Berdychiv Raion ,Berdychiv ,"75,4 ",Zhytomyr Oblast ,3014.1,159164,10,,,
Zhytomyr Raion ,Zhytomyr ,"264,5 ",Zhytomyr Oblast ,10505.8,613311,31,,,
Korosten Raion ,Korosten ,"63,3 ",Zhytomyr Oblast ,11066.8,255480,13,,,
Novohrad-Volynskyi Raion ,Novohrad-Volynskyi ,"56,3 ",Zhytomyr Oblast ,5242.6,167540,12,,,
Berehove Raion ,Berehove ,"23,7 ",Zakarpattia Oblast ,1458.7,207719,10,,,
Mukachevo Raion ,Mukachevo ,"85,9 ",Zakarpattia Oblast ,2054,252616,13,,,
Rakhiv Raion ,Rakhiv ,"15,5 ",Zakarpattia Oblast ,1845.2,82397,4,,,
Tiachiv Raion ,Tiachiv ,9,Zakarpattia Oblast ,1869.5,184532,10,,,
Uzhhorod Raion ,Uzhhorod ,"114,9 ",Zakarpattia Oblast ,2359.5,255532,14,,,
Khust Raion ,Khust ,"28,5 ",Zakarpattia Oblast ,3174.4,267333,13,,,
Berdyansk Raion ,Berdyansk ,"109,2 ",Zaporizhzhia Oblast ,4461.6,179118,8[9] ,,,
Vasylivka Raion ,Vasylivka ,"13,7 ",Zaporizhzhia Oblast ,4287.3,184224,11[9] ,,,
Zaporizhzhia Raion ,Zaporizhzhia ,"731,9 ",Zaporizhzhia Oblast ,4674.6,855297,17[9] ,,,
Melitopol Raion ,Melitopol ,"153,1 ",Zaporizhzhia Oblast ,7081,280816,16[9] ,,,
Polohy Raion ,Polohy ,"19,3 ",Zaporizhzhia Oblast ,6762.5,167060,15[9] ,,,
Verkhovyna Raion ,Verkhovyna ,"5,8 ",Ivano-Frankivsk Oblast ,1271.7,30399,3,,,
Ivano-Frankivsk Raion ,Ivano-Frankivsk ,"236,6 ",Ivano-Frankivsk Oblast ,3913.1,558130,20,,,
Kalush Raion ,Kalush ,"66,5 ",Ivano-Frankivsk Oblast ,3555,282692,13,,,
Kolomyia Raion ,Kolomyia ,"61,3 ",Ivano-Frankivsk Oblast ,2484.5,275512,13,,,
Kosiv Raion ,Kosiv ,"8,6 ",Ivano-Frankivsk Oblast ,853.7,84437,5,,,
Nadvirna Raion ,Nadvirna ,"22,1 ",Ivano-Frankivsk Oblast ,1872,129939,8,,,
Bila Tserkva Raion ,Bila Tserkva ,"208,9 ",Kyiv Oblast ,6513.1,436115,13,,,
Boryspil Raion ,Boryspil ,"62,3 ",Kyiv Oblast ,3874.9,203273,11,,,
Brovary Raion ,Brovary ,"108,7 ",Kyiv Oblast ,2883.1,242180,8,,,
Bucha Raion ,Bucha ,"35,6 ",Kyiv Oblast ,1544.3,362382,12,,,
Vyshhorod Raion ,Vyshhorod ,"29,9 ",Kyiv Oblast ,6913.4,131957,7,,,
Obukhiv Raion ,Obukhiv ,"33,6 ",Kyiv Oblast ,3526.3,228829,9,,,
Fastiv Raion ,Fastiv ,"45,9 ",Kyiv Oblast ,2886.7,183794,9,,,
Holovanivsk Raion ,Holovanivsk ,6,Kirovohrad Oblast ,4244.3,121150,10,,,
