#,Name,Center,Year,"Area
(km2)",Population,Density,Councils (municipalities) ,,
,,,,,,,City,Town,Village 
1,Bakhchysarai Raion,Bakhchysarai,1923,1589,92617,58,1,2,15
2,Bilohirsk Raion,Bilohirsk,1930,3106,122259,39,1,2,35
3,Dzhankoi Raion,Dzhankoi,1921,2693,125333,47,1,2,26
4,Feodosia Raion,Feodosia,2020,3177,231666,73,3,8,47
5,Kerch Raion,Kerch,2020,3027,226660,75,2,2,24
6,Perekop Raion,Yani Qapu,1935,2646,126110,48,2,2,25
7,Qurman Raion,Qurman,1944,3240,134035,41,0,3,34
8,Simferopol Raion,Simferopol,1965,1860,512527,276,1,8,19
9,Yalta Raion,Yalta,2020,883,198161,224,3,22,33
10,Yevpatoria Raion,Yevpatoria,2020,3860,264368,68,3,5,33
